,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,country_of_origin_of_goods,4,4,100.0,100.0,1.0,4,100.0
1,goods_description,4,4,100.0,100.0,1.0,4,100.0
2,incoterm,4,4,100.0,100.0,1.0,4,100.0
3,invoice_amount_in_words,4,4,100.0,98.0,1.0,4,100.0
4,invoice_no,4,4,100.0,100.0,1.0,4,100.0
5,lc_ref_no,4,4,100.0,100.0,1.0,4,100.0
6,remitter_address,4,4,100.0,97.0,1.0,4,100.0
7,remitter_drawee_applicant_importer_buyer_name,4,4,100.0,96.0,1.0,4,100.0
