epoch,total_loss,map_50_95,map_50,precision,recall,best_map_50_95
1,16.779333114624023,0.0,0.0,0.0,0.0,0.0
2,11.485654830932617,0.0,0.0,0.0,,0.0
3,10.852569580078125,5.090221633340138e-08,2.5451108166700687e-07,2.5451108166700687e-07,0.0,0.0
4,8.896248817443848,2.0308000221856715e-05,0.00018070890104454892,0.00018070890104454892,0.001,0.0
5,7.914560317993164,2.0609984703971217e-05,0.0001068810003711503,0.0001068810003711503,0.0,0.0
6,8.043706893920898,5.727069983982228e-07,5.727069983982228e-06,5.727069983982228e-06,0.0,0.0
7,7.5673675537109375,0.07817548765683548,0.16806796965956686,0.16806796965956686,0.112,0.07817548765683548
8,8.0849609375,0.031156726926314895,0.08188193951179128,0.08188193951179128,0.054,0.07817548765683548
9,7.516981601715088,0.06481329919968022,0.16534859801740776,0.16534859801740776,0.111,0.07817548765683548
10,5.417270183563232,0.03423223212514805,0.08021460140535401,0.08021460140535401,0.075,0.07817548765683548
11,7.060283660888672,0.05435333059797371,0.1330706238015164,0.1330706238015164,0.097,0.07817548765683548
12,5.097218036651611,0.028599536446366564,0.06617138300177276,0.06617138300177276,0.061,0.07817548765683548
13,7.026379585266113,0.04981883808019466,0.11678131301696416,0.11678131301696416,0.09,0.07817548765683548
14,6.350050449371338,0.04140701752169538,0.09766846228640513,0.09766846228640513,0.074,0.07817548765683548
15,6.019313812255859,0.06284442709911267,0.15254527244775146,0.15254527244775146,0.11,0.07817548765683548
16,6.393511772155762,0.08042176535976767,0.17260309580277305,0.17260309580277305,0.129,0.08042176535976767
17,4.900542736053467,0.10753277886658497,0.2295656217410915,0.2295656217410915,0.158,0.10753277886658497
18,6.002133369445801,0.05175591050579711,0.11686892685047047,0.11686892685047047,0.102,0.10753277886658497
19,5.557343482971191,0.044554204505337654,0.10139478060382588,0.10139478060382588,0.092,0.10753277886658497
20,5.972012519836426,0.0527078837498855,0.12255223294810097,0.12255223294810097,0.104,0.10753277886658497
21,5.240657806396484,0.050762531534034726,0.12373942362946966,0.12373942362946966,0.105,0.10753277886658497
22,6.2421112060546875,0.035149051046854736,0.09905655962191419,0.09905655962191419,0.08,0.10753277886658497
23,5.564480781555176,0.04545065835818382,0.11063402122007998,0.11063402122007998,0.09,0.10753277886658497
24,4.602575778961182,0.042618816800279125,0.10997293571361949,0.10997293571361949,0.086,0.10753277886658497
25,4.822048664093018,0.20274560033452418,0.41169916006166846,0.41169916006166846,0.24,0.20274560033452418
26,6.313848495483398,0.24653512281096931,0.461716553556903,0.461716553556903,0.28,0.24653512281096931
27,4.246157169342041,0.26563109897312476,0.47937301630100454,0.47937301630100454,0.299,0.26563109897312476
28,5.164735794067383,0.27348105441123005,0.4900711042292709,0.4900711042292709,0.308,0.27348105441123005
29,3.723353624343872,0.2794108869074376,0.4927424223298784,0.4927424223298784,0.312,0.2794108869074376
30,5.70427942276001,0.28400489421809144,0.4961508960323657,0.4961508960323657,0.318,0.28400489421809144
31,5.692773342132568,0.28364297460521637,0.49787539515443063,0.49787539515443063,0.316,0.28400489421809144
32,5.087306976318359,0.28841400811767803,0.5050345972556027,0.5050345972556027,0.319,0.28841400811767803
33,3.9476211071014404,0.2930211248601828,0.510238638776287,0.510238638776287,0.322,0.2930211248601828
34,4.578912258148193,0.29487169741040564,0.5139303845743314,0.5139303845743314,0.322,0.29487169741040564
35,7.33040714263916,0.298591987028068,0.5174372018346175,0.5174372018346175,0.325,0.298591987028068
36,4.160220623016357,0.30122653145379497,0.5207451129833413,0.5207451129833413,0.327,0.30122653145379497
37,5.160872936248779,0.30450305324146004,0.5252828787426441,0.5252828787426441,0.329,0.30450305324146004
38,5.690701484680176,0.3060575888688059,0.5267176066132986,0.5267176066132986,0.328,0.3060575888688059
39,3.693601608276367,0.30734243294669616,0.5306843414762102,0.5306843414762102,0.331,0.30734243294669616
40,4.196249008178711,0.30959581748234827,0.5314835374360055,0.5314835374360055,0.328,0.30959581748234827
