,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,bill_exchange_date,65,58,89.23076923076924,73.2,0.7413793103448276,43,66.15
1,bill_exchange_no,49,45,91.83673469387756,70.1,0.7333333333333333,33,67.35
2,boe_amount,86,82,95.34883720930233,79.22,0.7804878048780488,64,74.42
3,diclaration_by,10,8,80.0,53.4,0.5,4,40.0
4,drawee_bank_name,47,43,91.48936170212765,53.89,0.5116279069767442,22,46.81
5,drawee_name,19,12,63.1578947368421,27.95,0.4166666666666667,5,26.32
6,drawer_bank_name,81,78,96.29629629629629,72.28,0.7051282051282052,55,67.9
7,drawer_name,51,49,96.07843137254902,59.63,0.5918367346938775,29,56.86
8,lc_date,71,66,92.95774647887323,67.51,0.6363636363636364,42,59.15
9,lc_ref_no,78,72,92.3076923076923,76.0,0.7638888888888888,55,70.51
10,tenore_details,64,60,93.75,74.66,0.6833333333333333,41,64.06
11,OVERALL,621,573,92.27053140096618,69.2415458937198,0.6858638743455497,393,0.6328502415458938
